name,company,year,price,kms_driven,fuel_type,,
COROLLA GLI,TOYOTA,2015,2200000,100000,PETROL,,
TUCSON AWD ULTIMATE,HYUNDAI,2020,6200000,17000,PETROL,,
CIVIC 1.8 PROSMATEC,HONDA,2010,1800000,135000,PETROL,,
REVO V AT,TOYOTA,2017,6250000,40000,DIESEL,,
CITY 1.5 MT,HONDA,2017,2400000,38000,PETROL,,
CITY 1.3 AT,HONDA,2018,2650000,25000,PETROL,,
COROLLA ALTIS GRANDE,TOYOTA,2019,3800000,30000,PETROL,,
SORENTO 2.4 AWD,KIA,2021,,12000,PETROL,,
SPORTAGE ALPHA,KIA,2020,4600000,42000,PETROL,,
PICANTO 1.0 AT,KIA,2021,2325000,13000,PETROL,,
CIVIC 1.8 UG,HONDA,2014,2800000,90000,PETROL,,
BRV IVTEC MT,HONDA,2017,2625000,35000,PETROL,,
TUCSON FWD GLS SPORT,HYUNDAI,2020,5900000,17500,PETROL,,
CITY 1.5 ASPIRE,HONDA,2018,2800000,40000,PETROL,,
CIVIC 1.8 IVTEC,HONDA,2011,2475000,120000,PETROL,,
SORENTO 3.5 FWD,KIA,2021,,6000,PETROL,,
BRV IVTEC S CVT,HONDA,2021,3760000,5000,PETROL,,
COROLLA ALTIS,TOYOTA,2012,2050000,115000,PETROL,,
REVO G MT,TOYOTA,2021,69000,5000,DIESEL,,
ALTO VXR AGS,SUZUKI,2019,1700000,45000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2575000,22000,PETROL,,
SPORTAGE AWD,KIA,2019,5400000,32000,PETROL,,
ELANTRA GLS SPORT,HYUNDAI,2021,4425000,4000,PETROL,,
FORTUNER 2.7,TOYOTA,2017,8500000,123000,PETROL,,
CIAZ 1.4 MT,SUZUKI,2020,2280000,14000,PETROL,,
PICANTO 1.0 MT,KIA,2021,2350000,8900,PETROL,,
SPORTAGE ALPHA,KIA,2021,4825000,15000,PETROL,,
YARIS 1.3 MT,TOYOTA,2020,2550000,30000,PETROL,,
REVO G AT,TOYOTA,2018,7000000,40000,DIESEL,,
SORENTO 2.4 FWD,KIA,2021,,20000,PETROL,,
CITY 1.3 MT,HONDA,2011,1275000,140000,PETROL,,
CULTUS AGS,SUZUKI,2018,2100000,35000,PETROL,,
CIVIC 1.5 TURBO,HONDA,2016,3275000,69000,PETROL,,
CULTUS VXL,SUZUKI,2021,2200000,5000,PETROL,,
YARIS 1.3 AT,TOYOTA,2021,2825000,12000,PETROL,,
SPORTAGE FWD,KIA,2019,4875000,54000,PETROL,,
BRV IVTEC MT,HONDA,2018,2800000,41200,PETROL,,
YARIS 1.5 AT,TOYOTA,2021,3250000,2000,PETROL,,
CIAZ 1.4 AT,SUZUKI,2017,2100000,38000,PETROL,,
COROLLA ALTIS,TOYOTA,2019,3550000,14000,PETROL,,
